time,jogos,pontos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo_gols,posicao_r19,temporada,aproveitamento,distancia_para_16,distancia_para_z4,pontos_por_jogo,gols_pro_por_jogo,gols_contra_por_jogo,saldo_por_jogo,aproveitamento_ultimos_5,variacao_posicao_ultimas_5,percentual_pontos_casa,percentual_pontos_fora,posicao_final,rebaixado,risco_rebaixamento,faixa,principais_fatores
Internacional,19,24,6,6,7,17,23,-6,14,2023,0.42105263157894735,6,6,1.263157894736842,0.8947368421052632,1.2105263157894737,-0.3157894736842105,0.2,-4.0,0.625,0.375,9.0,0.0,,,
Goias,19,22,6,4,9,18,27,-9,15,2023,0.38596491228070173,4,4,1.1578947368421053,0.9473684210526315,1.4210526315789473,-0.47368421052631576,0.7333333333333333,2.0,0.5454545454545454,0.45454545454545453,18.0,1.0,,,
Bahia,19,18,4,6,9,18,25,-7,16,2023,0.3157894736842105,0,0,0.9473684210526315,0.9473684210526315,1.3157894736842106,-0.3684210526315789,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,16.0,0.0,,,
Santos,19,18,4,6,9,19,31,-12,17,2023,0.3157894736842105,0,0,0.9473684210526315,1.0,1.631578947368421,-0.631578947368421,0.13333333333333333,-4.0,0.7777777777777778,0.2222222222222222,17.0,1.0,,,
Vasco,19,16,4,4,11,15,29,-14,18,2023,0.2807017543859649,-2,-2,0.8421052631578947,0.7894736842105263,1.5263157894736843,-0.7368421052631579,0.4666666666666667,1.0,0.4375,0.5625,15.0,0.0,,,
Coritiba,19,14,3,5,11,18,36,-18,19,2023,0.24561403508771928,-4,-4,0.7368421052631579,0.9473684210526315,1.894736842105263,-0.9473684210526315,0.26666666666666666,-1.0,0.6428571428571429,0.35714285714285715,19.0,1.0,,,
America-MG,19,10,2,4,13,19,42,-23,20,2023,0.17543859649122806,-8,-8,0.5263157894736842,1.0,2.210526315789474,-1.2105263157894737,0.06666666666666667,0.0,0.7,0.3,20.0,1.0,,,
Botafogo-RJ,19,40,12,4,3,31,16,15,1,2024,0.7017543859649122,22,23,2.1052631578947367,1.631578947368421,0.8421052631578947,0.7894736842105263,0.8666666666666667,1.0,0.55,0.45,1.0,0.0,,,
Flamengo,19,38,11,5,3,33,20,13,2,2024,0.6666666666666666,20,21,2.0,1.736842105263158,1.0526315789473684,0.6842105263157895,0.5333333333333333,-1.0,0.5,0.5,3.0,0.0,,,
Palmeiras,19,36,11,3,5,27,14,13,3,2024,0.631578947368421,18,19,1.894736842105263,1.4210526315789473,0.7368421052631579,0.6842105263157895,0.6,0.0,0.6111111111111112,0.3888888888888889,2.0,0.0,,,
Cruzeiro,19,33,10,3,6,25,20,5,4,2024,0.5789473684210527,15,16,1.736842105263158,1.3157894736842106,1.0526315789473684,0.2631578947368421,0.8,5.0,0.7575757575757576,0.24242424242424243,9.0,0.0,,,
Fortaleza,19,33,9,6,4,24,20,4,5,2024,0.5789473684210527,15,16,1.736842105263158,1.263157894736842,1.0526315789473684,0.21052631578947367,0.8,6.0,0.7272727272727273,0.2727272727272727,4.0,0.0,,,
Sao Paulo,19,32,9,5,5,28,20,8,6,2024,0.5614035087719298,14,15,1.6842105263157894,1.4736842105263157,1.0526315789473684,0.42105263157894735,0.5333333333333333,-1.0,0.625,0.375,6.0,0.0,,,
Bahia,19,31,9,4,6,28,23,5,7,2024,0.543859649122807,13,14,1.631578947368421,1.4736842105263157,1.2105263157894737,0.2631578947368421,0.26666666666666666,-3.0,0.6774193548387096,0.3225806451612903,8.0,0.0,,,
Athletico-PR,19,28,8,4,7,21,18,3,8,2024,0.49122807017543857,10,11,1.4736842105263157,1.105263157894737,0.9473684210526315,0.15789473684210525,0.4,-1.0,0.6071428571428571,0.39285714285714285,17.0,1.0,,,
Internacional,19,28,7,7,5,19,17,2,9,2024,0.49122807017543857,10,11,1.4736842105263157,1.0,0.8947368421052632,0.10526315789473684,0.3333333333333333,-3.0,0.5357142857142857,0.4642857142857143,5.0,0.0,,,
Atletico-MG,19,28,7,7,5,27,27,0,10,2024,0.49122807017543857,10,11,1.4736842105263157,1.4210526315789473,1.4210526315789473,0.0,0.4666666666666667,0.0,0.5714285714285714,0.42857142857142855,12.0,0.0,,,
Vasco,19,26,8,2,9,21,28,-7,11,2024,0.45614035087719296,8,9,1.368421052631579,1.105263157894737,1.4736842105263157,-0.3684210526315789,0.8,3.0,0.7692307692307693,0.23076923076923078,10.0,0.0,,,
Bragantino,19,26,7,5,7,24,23,1,12,2024,0.45614035087719296,8,9,1.368421052631579,1.263157894736842,1.2105263157894737,0.05263157894736842,0.26666666666666666,-4.0,0.7692307692307693,0.23076923076923078,16.0,0.0,,,
Criciuma,19,24,6,6,7,27,28,-1,13,2024,0.42105263157894735,6,7,1.263157894736842,1.4210526315789473,1.4736842105263157,-0.05263157894736842,0.26666666666666666,-1.0,0.5833333333333334,0.4166666666666667,18.0,1.0,,,
Juventude,19,22,5,7,7,20,24,-4,14,2024,0.38596491228070173,4,5,1.1578947368421053,1.0526315789473684,1.263157894736842,-0.21052631578947367,0.4,-1.0,0.8636363636363636,0.13636363636363635,15.0,0.0,,,
Corinthians,19,19,4,7,8,17,25,-8,15,2024,0.3333333333333333,1,2,1.0,0.8947368421052632,1.3157894736842106,-0.42105263157894735,0.4666666666666667,2.0,0.7368421052631579,0.2631578947368421,7.0,0.0,,,
Cuiaba,19,18,4,6,9,18,23,-5,16,2024,0.3157894736842105,0,1,0.9473684210526315,0.9473684210526315,1.2105263157894737,-0.2631578947368421,0.3333333333333333,-1.0,0.3888888888888889,0.6111111111111112,20.0,1.0,,,
